,Open,High,Low,Close,Adj Close,Volume
2021-07-19 09:30:00-04:00,100.52999877929688,103.12999725341797,100.25,101.4000015258789,101.4000015258789,1052099
2021-07-19 10:30:00-04:00,101.37999725341797,103.14530181884766,101.33000183105469,102.46499633789062,102.46499633789062,504603
2021-07-19 11:30:00-04:00,102.46499633789062,104.81500244140625,102.37999725341797,103.76000213623047,103.76000213623047,493036
2021-07-19 12:30:00-04:00,103.7300033569336,104.30999755859375,103.44999694824219,103.80000305175781,103.80000305175781,269896
2021-07-19 13:30:00-04:00,103.80500030517578,104.29000091552734,103.44000244140625,104.18000030517578,104.18000030517578,367495
2021-07-19 14:30:00-04:00,104.16999816894531,105.0,103.83000183105469,104.30000305175781,104.30000305175781,725348
2021-07-19 15:30:00-04:00,104.31999969482422,104.87999725341797,104.07039642333984,104.73999786376953,104.73999786376953,530363
2021-07-20 09:30:00-04:00,104.69999694824219,105.41999816894531,103.38999938964844,105.33000183105469,105.33000183105469,677224
2021-07-20 10:30:00-04:00,105.33000183105469,106.12000274658203,104.6500015258789,105.62000274658203,105.62000274658203,349747
2021-07-20 11:30:00-04:00,105.62999725341797,106.30000305175781,105.33000183105469,105.81999969482422,105.81999969482422,242587
2021-07-20 12:30:00-04:00,105.81999969482422,106.27999877929688,105.18000030517578,105.33000183105469,105.33000183105469,327252
2021-07-20 13:30:00-04:00,105.30999755859375,106.83000183105469,105.19000244140625,106.55000305175781,106.55000305175781,567656
2021-07-20 14:30:00-04:00,106.55999755859375,107.6583023071289,106.51439666748047,107.25039672851562,107.25039672851562,467120
2021-07-20 15:30:00-04:00,107.25,107.2699966430664,106.43000030517578,106.52999877929688,106.52999877929688,446597
2021-07-21 09:30:00-04:00,107.88150024414062,109.71690368652344,107.80000305175781,108.70500183105469,108.70500183105469,616533
2021-07-21 10:30:00-04:00,108.56999969482422,108.7146987915039,107.2699966430664,108.01499938964844,108.01499938964844,393258
2021-07-21 11:30:00-04:00,107.9800033569336,109.27999877929688,107.97000122070312,108.93000030517578,108.93000030517578,215176
2021-07-21 12:30:00-04:00,108.9000015258789,109.9800033569336,108.7300033569336,109.49500274658203,109.49500274658203,323789
2021-07-21 13:30:00-04:00,109.42009735107422,109.78500366210938,108.94000244140625,109.48999786376953,109.48999786376953,274549
2021-07-21 14:30:00-04:00,109.48999786376953,109.64019775390625,109.21050262451172,109.57209777832031,109.57209777832031,135169
2021-07-21 15:30:00-04:00,109.58000183105469,109.94000244140625,109.41999816894531,109.61000061035156,109.61000061035156,260828
2021-07-22 09:30:00-04:00,108.06999969482422,109.0999984741211,106.10009765625,108.08999633789062,108.08999633789062,694086
2021-07-22 10:30:00-04:00,108.12000274658203,108.88999938964844,107.26709747314453,107.69249725341797,107.69249725341797,258296
2021-07-22 11:30:00-04:00,107.70500183105469,108.27999877929688,107.62000274658203,108.01000213623047,108.01000213623047,129396
2021-07-22 12:30:00-04:00,108.0199966430664,108.69999694824219,107.80999755859375,108.44999694824219,108.44999694824219,168136
2021-07-22 13:30:00-04:00,108.44999694824219,108.51000213623047,107.91000366210938,108.11000061035156,108.11000061035156,132336
2021-07-22 14:30:00-04:00,108.08000183105469,108.09500122070312,107.69999694824219,107.87999725341797,107.87999725341797,94885
2021-07-22 15:30:00-04:00,107.88999938964844,107.9000015258789,107.36000061035156,107.4000015258789,107.4000015258789,294246
2021-07-23 09:30:00-04:00,107.48999786376953,107.7499008178711,105.02999877929688,105.49500274658203,105.49500274658203,648131
2021-07-23 10:30:00-04:00,105.44000244140625,105.44000244140625,104.7300033569336,105.19999694824219,105.19999694824219,396229
2021-07-23 11:30:00-04:00,105.20999908447266,105.58000183105469,104.80000305175781,104.92500305175781,104.92500305175781,284017
2021-07-23 12:30:00-04:00,104.92870330810547,104.94000244140625,104.05999755859375,104.12000274658203,104.12000274658203,465982
2021-07-23 13:30:00-04:00,104.0999984741211,104.47000122070312,103.75,104.08999633789062,104.08999633789062,468679
2021-07-23 14:30:00-04:00,104.09500122070312,104.20999908447266,103.62000274658203,103.62999725341797,103.62999725341797,454914
2021-07-23 15:30:00-04:00,103.66000366210938,103.94999694824219,103.4000015258789,103.55999755859375,103.55999755859375,758447
